,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'PGI', 'THZPSN'}",2,9.159287121596194e-05,0.2854636263830183,0.0,0.034486075949428874
1,"{'A5PISO', 'SERASr'}",2,0.0,0.2854712083206322,0.0,0.03448607594934927
2,"{'FUM', 'A5PISO'}",2,3.5919443808207774e-10,0.04363669006765619,0.0,0.006406509945779293
3,"{'PGM', 'THZPSN', 'ALCD19'}",3,9.4489847509871e-05,0.2820841169644272,0.0,0.034486075949394374
4,"{'FUM', 'SERASr', 'G3PD2'}",3,2.850924829544965e-09,0.04360085409383202,0.0,0.006406509945698136
5,"{'SULR', 'NAMNPP', 'THZPSN', 'ECOAH8'}",4,9.159287154388235e-05,0.2854636263829942,0.0,0.034486075949400785
6,"{'FUM', 'A5PISO', 'ASNS2', '5DKGR'}",4,8.330630407726858e-09,0.042232359726943225,0.0,0.006135449735481746
7,"{'FUM', 'IMPD', 'LYSDC', 'GLYAT'}",4,5.459241947392002e-10,0.04357134551359008,0.0,0.006406509945829124
8,"{'PGM', 'MDH', 'THZPSN', 'PDH'}",4,9.132221329521961e-05,0.24501979445800073,0.0,0.03247042253519594
9,"{'PGM', 'A5PISO', 'ECOAH8', 'SERASr'}",4,6.579629143743659e-07,0.28209184611737703,0.0,0.03448607594937991
