Reaction,Presence,Normalised_max_Flux,Normalised_max_biomass
ACGAMK,0.014925373134328358,1.0,0.9946882103392967
4HTHRK,0.10945273631840796,1.0,0.9999990653217544
NDPK3,0.01990049751243781,1.0,0.9994878361651196
GCALDD,0.12935323383084577,1.0,0.9999999999866054
RPI,0.07960199004975124,1.0,0.33583523300177587
HACD3,0.024875621890547265,0.9985248947280017,0.9917717869996932
DHNPA2r,0.06467661691542288,0.9985248947280017,0.9999999999865657
DHNPA2,0.04975124378109453,0.9985248947280017,0.9999999296891868
NDPK2,0.11442786069651742,0.9955600249196329,0.998330118806392
ACACT1r,0.05472636815920398,0.9955600249196329,0.991771786999705
4HTHRA,0.13432835820895522,0.9955600249196329,0.9999990653273462
PPM,0.029850746268656716,0.9955183993676333,0.9999999988917931
GRXR,0.004975124378109453,0.9955183993676333,0.33053532441420663
MAN6PI,0.004975124378109453,0.9955179702423971,0.3305353244140921
ENO,0.05472636815920398,0.9950162960518809,0.9881621609866756
GLUDy,0.04477611940298507,0.9950162960518809,0.9668358999533715
ECOAH5,0.05970149253731343,0.9950162960518809,0.9958015103371874
ACOAD3f,0.029850746268656716,0.9949777743468609,0.8994411964824315
TRPAS2,0.03482587064676617,0.9948529087725877,0.9995237569772173
PGL,0.01990049751243781,0.9948529087725877,0.9999734400716304
GMHEPAT,0.04975124378109453,0.9948529087725877,0.9947749585875197
NDPK4,0.009950248756218905,0.9948397727328994,0.32832763690958205
E4PD,0.13432835820895522,0.9948294601368217,0.9999993768764884
ACACT3r,0.03482587064676617,0.9948294601368217,0.9917717869996788
PYK2,0.009950248756218905,0.9947886869295423,0.33108834994546604
KDOCT2,0.03482587064676617,0.9947886869295423,0.9999999999911197
ECOAH2,0.04975124378109453,0.9947886869295423,0.9917717870052696
GLU5K,0.01990049751243781,0.994770763642233,0.9855023513366722
ACACT5r,0.01990049751243781,0.994770763642233,0.9958015103716504
ACOAD5f,0.014925373134328358,0.9947653495761114,0.984062281624457
PGMT,0.04477611940298507,0.9947401607926657,0.9999999999911197
HEPTA1,0.009950248756218905,0.6811653664596057,0.991771786862563
ECOAH3,0.03482587064676617,0.6811653664516595,0.9917717870030444
PERD,0.18407960199004975,0.6811653664516595,0.9999993768798766
PPS,0.004975124378109453,0.6811653664516595,0.5495390369210206
ECOAH4,0.04975124378109453,0.6811360492234854,0.9947144897084066
ECOAH7,0.024875621890547265,0.681096133029804,0.9937944178675102
KDOPS,0.05472636815920398,0.681096133029804,0.9999999999866247
GLUSy,0.004975124378109453,0.6810842455436561,0.5540990910345451
PSERT,0.004975124378109453,0.6766151587952558,0.5437042674723114
DHBS,0.024875621890547265,0.6766151587952558,0.991771786862563
