Strategy,Flux,Biomass,N_of_deletions,C_limit
['THZPSN'],9.159287131825598e-05,0.2854636263830102,1,12
['5DGLCNR'],0.0,0.2854712083206304,1,12
"['GMHEPPA', 'THZPSN']",9.159287148603605e-05,0.2854636263829967,2,12
"['PERD', '5DGLCNR']",0.0,0.2854710304406414,2,12
"['PGM', 'GMHEPPA']",1.484181666455697e-09,0.2820918460902148,2,12
"['5DGLCNR', 'ACACT3r']",0.0,0.2831222904169116,2,12
"['HEPKA1', 'HSST']",4.072440000458741e-09,0.2854712079835183,2,12
"['PERD', 'ACACT3r']",0.0,0.2831221154521568,2,12
"['VPAMTr', 'ACACT3r']",1.1131939814390535e-09,0.2831222903320435,2,12
"['PERD', 'VPAMTr']",0.0,0.285471030440652,2,12
"['FUM', 'PPKr']",1.2139877957062504e-09,0.0428048413075214,2,12
"['SUCOAS', 'AGMHE', 'GLU5K']",2.661117870937356e-10,0.2719445713980247,3,12
"['PPKr', 'ASPO6', 'GLU5K']",1.1143480999065147e-09,0.2813325470426806,3,12
"['FUM', 'PPKr', 'FACOAE141']",1.0489789489505699e-10,0.0428048413086107,3,12
"['FLDR2', 'AGMHE', 'ACALD']",2.132509597849012e-10,0.2854712083029738,3,12
"['LDH_D', 'ECOAH8', 'S7PI']",2.6091261789984443e-10,0.2854712082990283,3,12
"['FUM', 'ACACT5r', 'CTECOAI7']",1.9233237225080302e-10,0.043364330544682,3,12
"['FUM', 'AGDC', 'FACOAE80']",1.85359402089455e-10,0.0436366900794971,3,12
"['PGMT', 'ALCD2x', 'MALS']",2.867295734176878e-09,0.2592654820711197,3,12
"['E4PD', 'ACOAD8f', '4HTHRA']",0.7689441106434085,0.221818817220459,3,12
"['PGMT', 'CTECOAI6', 'CTECOAI8']",5.149672688276041e-09,0.285471208170456,3,12
"['ICHORT', 'PGMT', 'KDOCT2']",6.308748234928886e-08,0.2854712083219293,3,12
"['ICHORT', 'CTECOAI6', 'GNP']",4.921105301036732e-08,0.2854712081306917,3,12
"['MMCD', 'ACOAD8f', 'GNP']",4.881258064415306e-09,0.2854691640693809,3,12
"['ICHORT', 'PGMT', 'GNP']",1.3513499652617613e-08,0.2854712075084656,3,12
"['ICHORT', 'A5PISO', 'ACOAD8f']",1.5262664010418092e-07,0.2854712054920051,3,12
"['FUM', 'AACPS7', 'KDOCT2']",1.012608663586434e-09,0.0436166278832931,3,12
"['FUM', 'A5PISO', 'ACOAD7f']",1.9817321117443495e-08,0.0436037897904195,3,12
"['ACOAD8f', 'CTECOAI6', 'ACOAD7f']",4.080789040017407e-09,0.2853185920567732,3,12
"['PGI', 'AACPS7', 'TALA']",2.046151607273705e-08,0.2840260034476723,3,12
"['KDOPS', 'ACACT2r']",1.1404029010009253e-07,0.2831222899559159,2,12
"['KDOPS', 'NDPK6']",0.0,0.2854712083206461,2,12
"['TKT2', 'NDPK6']",0.0,0.2833157630295877,2,12
"['KDOPS', 'DHBD']",3.1559466151520605e-10,0.2854712082741092,2,12
"['TKT2', 'ACACT2r']",0.0,0.2810020383957363,2,12
"['DSERDHr', 'NDPK6']",0.0,0.2854712083206338,2,12
"['ACACT2r', 'DSERDHr', 'TKT2', 'NDPK6']",6.2640310716233224e-09,0.2810020380970977,4,12
"['GMHEPAT', 'KDOPS', 'TKT2', 'GNP']",2.4014070731936954e-09,0.2833157630075419,4,12
"['ACACT2r', 'DSERDHr', 'MTAN', 'G1PTT']",2.203705662395805e-09,0.2831222901390793,4,12
"['KDOPS', 'DSERDHr', 'MTAN', 'DHBD']",7.881737928983058e-08,0.2854712083206239,4,12
"['TKT1', 'TRPAS2']",8.238885129685514e-10,0.2846104345706715,2,12
"['SERASr', 'CTECOAI6']",-1.9409807094916687e-11,0.285471208322232,2,12
"['TKT1', 'SERASr']",0.0,0.2847456983790868,2,12
"['TKT1', 'ACACT1r']",-1.9664936345975548e-11,0.2824086557348516,2,12
"['CTECOAI6', 'ACACT1r']",0.0,0.2831222904169159,2,12
"['TKT1', 'SERASr', 'CTECOAI6']",2.304112456386065e-10,0.2847456983620467,3,12
"['DHNPA2r', 'SERASr', 'TRPAS2']",3.4741560739348643e-09,0.2853352546532945,3,12
