,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'E4PD', 'CYTK1', 'PDH', 'RPI'}",4,0.00047221269647890435,0.09364146752961997,0.0,0.035392000000054935
1,"{'ECOAH5', 'PERD', 'NTD5', 'RPI'}",4,1.7487309378338978e-08,0.09512546691796862,0.0,0.03448607594910513
2,"{'ECOAH5', 'PERD', 'E4PD', 'CYTK1'}",4,2.0270363165764138e-10,0.2837421286915678,0.0,0.03448607594933395
3,"{'E4PD', 'CYTK1', 'TPI', 'RPI'}",4,0.0004596113470824052,0.09488459033495648,0.0,0.03448607594896658
4,"{'ECOAH5', 'PERD', 'KDOPS', 'TPI'}",4,5.099991540191695e-10,0.2841054648022025,0.0,0.03448607594941144
5,"{'ANHMK', 'PRPPS', 'PDH', 'RPI'}",4,1.0723838483883696e-10,0.09460880499552962,0.0,0.03539199999982545
6,"{'PERD', 'PDH', 'NTD4', 'RPI'}",4,0.00047027697742885177,0.09459623369899606,0.0,0.03539200000400955
7,"{'ECOAH5', 'E4PD', 'CYTK1', 'PDH'}",4,2.3320581021835096e-09,0.28090252109410013,0.0,0.035392000000011414
8,"{'CYTK1', 'PERD', 'PMANM', 'RPI'}",4,0.0004597015506533353,0.09490321243854315,0.0,0.034486075949334394
9,"{'ECOAH5', 'E4PD', 'TPI', 'PDH'}",4,0.0,0.2812680197259081,0.0,0.03539200000005849
