Strategy,Flux,Biomass,N_of_deletions,C_limit
['ACACT4r'],4.400574574181526e-08,0.2839623473133255,1,9
['ACACT8r'],-1.1636469565701189e-11,0.285471208321589,1,9
['TRSARr'],0.0,0.285471208320633,1,9
['NDPK6'],0.0,0.2854712083206393,1,9
['LSERDHr'],0.0,0.2854712083206238,1,9
['CTECOAI7'],-1.9202417433916708e-11,0.2852913437571148,1,9
['CYTK1'],-1.924438386424754e-11,0.2849363748590158,1,9
['NADPHXE'],-1.9339196910550527e-11,0.2854712083222277,1,9
['DHNPA2r'],0.0,0.2854712083206293,1,9
['PPKr'],0.0,0.2815917027916833,1,9
"['GCALDD', 'E4PD']",1.5354749101892644,0.1581793370475696,2,9
"['ECOAH1', 'IDOND', 'NDPK2']",-1.9571677611907035e-11,0.2826533935306914,3,9
"['ECOAH1', 'ECOAH2', 'NDPK2']",0.0,0.2826533935290701,3,9
"['ECOAH2', 'IDOND', 'NDPK2']",0.0,0.2826533935291022,3,9
"['ECOAH1', 'IDOND', 'ECOAH2']",0.0,0.2831222904169201,3,9
"['ECOAH1', 'ECOAH2', 'NDPK6']",0.0,0.2831222904169167,3,9
"['IDOND', 'NDPK2', 'NDPK6']",0.0,0.284994505322357,3,9
"['AI2K', 'NDPK2', 'PGI']",3.286838859734566e-09,0.2849838682569906,3,9
"['PGI', 'ECOAH2', 'NDPK6']",2.9730244932579812e-09,0.283122290152989,3,9
"['ECOAH1', 'IDOND', 'NDPK6']",0.0,0.2831222904169119,3,9
"['THZPSN', 'GLYK']",9.159287162640185e-05,0.2854636263829868,2,9
"['ECOAH4', 'ACACT2r']",0.0,0.2831222904169229,2,9
"['ACACT2r', 'PERD']",8.840629561746027e-09,0.2831221153492572,2,9
"['ALDD19xr', 'PERD']",0.0,0.2854710304406373,2,9
"['ECOAH4', 'ALDD19xr']",-1.9377388582597632e-11,0.2839623473149118,2,9
"['3AMACHYD', 'ACACT2r']",1.5715819756678682e-09,0.2831222904169271,2,9
"['DHBD', 'ALDD19xr']",0.0,0.2854712083206201,2,9
"['DHBD', 'PERD']",-1.1687539824833948e-11,0.2854710304416098,2,9
"['PPM', 'PGL', 'GMHEPK']",9.160343188341358e-05,0.2854636262296197,3,9
"['ECOAH4', 'GCALDD', 'PERD']",1.5355906180454388,0.1573431297840765,3,9
['THZPSN'],9.1592871477921e-05,0.285463626382996,1,9
['NDPK8'],0.0,0.2854712083206374,1,9
['FBA3'],-1.926980797151145e-11,0.2854712083222204,1,9
['HACD4'],-1.5467627179077679e-12,0.2839623473134443,1,9
['ACOAD1f'],0.0,0.2854712083206394,1,9
['NADPHXE'],0.0,0.2854712083206333,1,9
['ACACT7r'],0.0,0.285138919895819,1,9
"['THZPSN', 'FBA3']",9.159287158477802e-05,0.2854636263829879,2,9
"['PDH', 'THZPSN']",9.272045652508608e-05,0.2826345321766229,2,9
"['KDOCT2', 'THZPSN', 'NDPK8']",9.159287144211437e-05,0.2854636263830006,3,9
"['TPI', 'PPKr', 'HACD6']",2.808292265399359e-09,0.2804348651426787,3,9
"['DHBD', 'PPM2', 'HACD6']",0.0,0.2845165957378556,3,9
"['TPI', 'PPKr', 'RPE', 'PPM2']",0.0,0.2800257186210948,4,9
"['DHBD', 'TPI', 'GPDDA4pp', 'RPE']",1.4944643439429584e-10,0.2838619008749321,4,9
"['DHBD', 'PPKr', 'RPE', 'PPM2']",-1.9667378836629723e-11,0.2801879741683722,4,9
"['DHBD', 'TPI', 'PPKr', 'PPM2']",-1.9454882149716468e-11,0.2814278178651228,4,9
"['DHBD', 'RPE', 'PPM2', 'HACD6']",0.0,0.2830836288048192,4,9
"['TPI', 'PPKr', 'RPE', 'HACD6']",7.214566721813752e-10,0.2790426181860413,4,9
"['DHBD', 'TPI', 'PPM2', 'HACD6']",0.0,0.2843492895941955,4,9
"['DHBD', 'PPKr', 'RPE', 'HACD6']",4.882849680143407e-10,0.2792037361974243,4,9
"['THZPSN', 'RPI', 'DHNPA2r']",0.0004878660819994,0.0958577270860545,3,9
"['THZPSN', 'ACOAD2f', 'DHNPA2r']",2.1858568288735114e-09,0.2831148327389384,3,9
"['E4PD', 'GLUDy', '4HTHRK']",0.7689448524342266,0.2144623430565674,3,9
"['THZPSN', 'ACACT3r', 'ACOAD2f']",0.0,0.283114832735942,3,9
"['RPI', 'ACACT3r', 'AGMHE']",1.0910761183424711e-10,0.0932647292331061,3,9
"['HACD3', 'DHNPA2', 'RPI', 'DHNPA2r']",2.25112950926201,0.0308857200879831,4,9
