,1,2,3,4,5,6,7,8,9,10,flux_difference
FLDR2,1.47064,2.042388,2.614136,3.185884,3.757632,4.329379,4.901127,5.472875,6.044623,6.616371,5.145731
ACLDC,0.326324,0.652648,0.978972,1.305296,1.63162,1.957944,2.284268,2.610593,2.936917,3.263241,2.9369169999999998
EX_btd_RR_e,0.32632406999999997,0.6526481399999999,0.9789722099999999,1.3052962799999999,1.63162035,1.9579444199999998,2.2842684899999997,2.6105925599999997,2.93691663,3.2632407,2.93691663
ACLS,0.565113,0.867821,1.170529,1.473236,1.775944,2.078651,2.381359,2.684066,2.986774,3.289481,2.724368
Htex,10.26401,10.514823,10.765635,11.016447,11.267259,11.518071,11.768883,12.019696,12.270508,12.52132,2.2573099999999986
NDPK6,-0.007148,-0.006441,-0.005734,-0.005027,-0.00432,-0.003613,-0.002906,-0.002199,-0.001492,-0.000785,0.006363
GLUt2rpp,-0.001294,-0.001166,-0.001038,-0.00091,-0.000782,-0.000654,-0.000526,-0.000398,-0.00027,-0.000142,0.001152
AHGDx,-0.000287,-0.000259,-0.00023,-0.000202,-0.000174,-0.000145,-0.000117,-8.8e-05,-6e-05,-3.2e-05,0.00025499999999999996
PDX5POi,6.1e-05,5.5e-05,4.9e-05,4.3e-05,3.7e-05,3.1e-05,2.5e-05,1.9e-05,1.3e-05,7e-06,-5.4e-05
IPDDI,7.6e-05,6.8e-05,6.1e-05,5.3e-05,4.6e-05,3.8e-05,3.1e-05,2.3e-05,1.6e-05,8e-06,-6.8e-05
ADPT,0.000122,0.00011,9.8e-05,8.6e-05,7.4e-05,6.2e-05,5e-05,3.7e-05,2.5e-05,1.3e-05,-0.00010899999999999999
SHGO,0.000287,0.000259,0.00023,0.000202,0.000174,0.000145,0.000117,8.8e-05,6e-05,3.2e-05,-0.00025499999999999996
IPDPS,0.000653,0.000588,0.000523,0.000459,0.000394,0.00033,0.000265,0.000201,0.000136,7.2e-05,-0.000581
MECDPDH2,0.000653,0.000588,0.000523,0.000459,0.000394,0.00033,0.000265,0.000201,0.000136,7.2e-05,-0.000581
GLUt4pp,0.001294,0.001166,0.001038,0.00091,0.000782,0.000654,0.000526,0.000398,0.00027,0.000142,-0.001152
PETNLA161pp,0.001992,0.001795,0.001598,0.001401,0.001204,0.001007,0.00081,0.000613,0.000416,0.000219,-0.0017729999999999998
DAGK161,0.001992,0.001795,0.001598,0.001401,0.001204,0.001007,0.00081,0.000613,0.000416,0.000219,-0.0017729999999999998
12DGR161tipp,0.001992,0.001795,0.001598,0.001401,0.001204,0.001007,0.00081,0.000613,0.000416,0.000219,-0.0017729999999999998
RNTR4c,0.007148,0.006441,0.005734,0.005027,0.00432,0.003613,0.002906,0.002199,0.001492,0.000785,-0.006363
RNTR3c,0.00738,0.00665,0.00592,0.00519,0.00446,0.003731,0.003001,0.002271,0.001541,0.000811,-0.006569
FDH5pp,0.012738,0.011479,0.010219,0.008959,0.007699,0.006439,0.005179,0.00392,0.00266,0.0014,-0.011337999999999999
PE161abcpp,0.015345,0.013828,0.01231,0.010792,0.009275,0.007757,0.006239,0.004722,0.003204,0.001686,-0.013659
GTHOr,0.025231,0.022736,0.02024,0.017745,0.01525,0.012754,0.010259,0.007763,0.005268,0.002773,-0.022458
GRXR,0.025231,0.022736,0.02024,0.017745,0.01525,0.012754,0.010259,0.007763,0.005268,0.002773,-0.022458
PAPSR2,0.025231,0.022736,0.02024,0.017745,0.01525,0.012754,0.010259,0.007763,0.005268,0.002773,-0.022458
FLDR,0.029055,0.026182,0.023308,0.020435,0.017561,0.014687,0.011814,0.00894,0.006067,0.003193,-0.025862
NDPK3,0.040772,0.03674,0.032707,0.028675,0.024643,0.02061,0.016578,0.012545,0.008513,0.00448,-0.036292000000000005
METSOXR1,0.042041,0.037883,0.033725,0.029567,0.025409,0.021251,0.017093,0.012936,0.008778,0.00462,-0.037421
DHORD5,0.090348,0.081413,0.072477,0.063541,0.054606,0.04567,0.036735,0.027799,0.018864,0.009928,-0.08041999999999999
GLYCDx,0.229475,0.206779,0.184084,0.161389,0.138694,0.115998,0.093303,0.070608,0.047912,0.025217,-0.20425800000000002
ALCD19,0.229475,0.206779,0.184084,0.161389,0.138694,0.115998,0.093303,0.070608,0.047912,0.025217,-0.20425800000000002
GAPP,0.229475,0.206779,0.184084,0.161389,0.138694,0.115998,0.093303,0.070608,0.047912,0.025217,-0.20425800000000002
PROD2,0.596747,0.537728,0.478709,0.41969,0.360671,0.301652,0.242633,0.183614,0.124595,0.065577,-0.53117
P5CR,0.657135,0.592144,0.527153,0.462161,0.39717,0.332178,0.267187,0.202195,0.137204,0.072213,-0.584922
5DGLCNR,0.0,0.0,0.0,0.0,-0.073637,-0.340308,-0.606978,-0.873649,-1.14032,-1.406991,-1.406991
5DKGR,0.0,0.0,0.0,0.0,-0.073637,-0.340308,-0.606978,-0.873649,-1.14032,-1.406991,-1.406991
BTDD_RR,-0.326324,-0.652648,-0.978972,-1.305296,-1.63162,-1.957944,-2.284268,-2.610593,-2.936917,-3.263241,-2.9369169999999998
BTDDtpp,-0.326324,-0.652648,-0.978972,-1.305296,-1.63162,-1.957944,-2.284268,-2.610593,-2.936917,-3.263241,-2.9369169999999998
BTDDtex,-0.326324,-0.652648,-0.978972,-1.305296,-1.63162,-1.957944,-2.284268,-2.610593,-2.936917,-3.263241,-2.9369169999999998
POR5,-1.47064,-2.042388,-2.614136,-3.185884,-3.757632,-4.329379,-4.901127,-5.472875,-6.044623,-6.616371,-5.145731
NADH17pp,16.599254,15.527991,14.456728,13.385465,12.314202,11.242939,10.171676,9.100413,8.02915,6.957887,-9.641366999999999
FRD2,16.70234,15.620882,14.539424,13.457965,12.376507,11.295048,10.21359,9.132132,8.050673,6.969215,-9.733125
SUCDi,24.817745,23.482402,22.14706,20.811717,19.476375,18.141032,16.80569,15.470347,14.135005,12.799662,-12.018082999999999
