ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
ABTA ACACT2r AKGDH CBMKr CBPS F6PA GLYK IMPD MTHFC NDPK2 NDPK3 NDPK7 PDH PFL POX PPKr PYRtex RPE SERtex TPI,20,0.0285497,2.59447321,0.171051184425756,1.29866422624506
ABTA ACACT2r AKGDH CBMKr CBPS F6PA GLYK IMPD MTHFC NDPK2 NDPK3 PDH PFL POX PPKr PYRtex RPE SERtex TPI,19,0.0285533,2.59432921,0.171043276959231,1.29866512786953
ABTA ACACT2r AKGDH CBMKr CBPS F6PA GLYK MTHFC NDPK2 NDPK3 NDPK7 PDH PFL POX PPKr PYRtex RPE SERtex TPI,19,0.02865381,2.59402761,0.171026819819075,1.29844132135626
ABTA ACACT2r AKGDH CBMKr CBPS F6PA GLYK MTHFC NDPK2 NDPK3 PDH PFL POX PPKr PYRtex RPE SERtex TPI,18,0.02865744,2.59388303,0.171019114059037,1.29844211520858
ABTA ACACT2r AKGDH CBMKr CBPS F6PA GLYK MTHFC NDPK2 PDH PFL POX PPKr PYRtex RPE SERtex TPI,17,0.02867387,2.59322838,0.170983547041261,1.29844598413447
ABTA AKGDH CBMKr CBPS F6PA GLYK IMPD MTHFC NDPK2 NDPK3 NDPK7 PDH PFL POX PPKr PYRtex RPE SERtex TPI,19,0.02890016,2.59297325,0.170969295671719,1.29791414003745
ABTA AKGDH CBMKr CBPS F6PA GLYK IMPD MTHFC NDPK2 NDPK3 PDH PFL POX PPKr PYRtex RPE SERtex TPI,18,0.02890385,2.59282729,0.170961307922647,1.2979149736136
ABTA AKGDH CBMKr CBPS F6PA GLYK MTHFC NDPK2 NDPK3 NDPK7 PDH PFL POX PPKr PYRtex RPE SERtex TPI,18,0.02900684,2.59251663,0.170944163514537,1.29768606512794
ABTA AKGDH CBMKr CBPS F6PA GLYK MTHFC NDPK2 NDPK3 PDH PFL POX PPKr PYRtex RPE SERtex TPI,17,0.02901056,2.59237007,0.170936376271261,1.29768679276246
ABTA AKGDH CBMKr CBPS F6PA GLYK MTHFC NDPK2 PDH PFL POX PPKr PYRtex RPE SERtex TPI,16,0.02902739,2.59170647,0.17089996723784,1.29769054680297
ABTA AKGDH CBMKr CBPS F6PA GLYK MTHFC NDPK3 NDPK7 PDH PFL POX PPKr PYRtex RPE SERtex TPI,17,0.02906185,2.5903482,0.170825670079503,1.2976982315683
ABTA AKGDH CBMKr CBPS F6PA GLYK MTHFC NDPK3 PDH PFL POX PPKr PYRtex RPE SERtex TPI,16,0.02906558,2.59020108,0.170817853970229,1.29769899733664
ABTA AKGDH CBMKr CBPS F6PA GLYK MTHFC PDH PFL POX PPKr PYRtex RPE SERtex TPI,15,0.02908248,2.58953496,0.170781515194027,1.29770279271623
ABTA ACACT2r AKGDH CBMKr CBPS F6PA GLYK IMPD MTHFC NDPK2 NDPK3 NDPK7 PDH PFL POX PYRtex RPE SERtex TPI,19,0.02945471,2.5892348,0.170764879369038,1.29682100052285
ABTA ACACT2r AKGDH CBMKr CBPS F6PA GLYK IMPD MTHFC NDPK2 NDPK3 PDH PFL POX PYRtex RPE SERtex TPI,18,0.02945855,2.58908556,0.170756877035699,1.29682169387068
