ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
AACPS7 ABTA ACOAD6f FORtppi MDH PDH POX PPS PYRtex SUCOAS TKT1,11,0.0280052,2.58191802,0.180277234227929,1.29734987911227
ABTA ACOAD6f FORtppi MDH PDH POX PPS PYRtex SUCOAS TKT1,10,0.02804985,2.58170319,0.180265135107674,1.2972558330447
AACPS7 ABTA FORtppi MDH PDH POX PPS PYRtex SUCOAS TKT1,10,0.02812141,2.58135889,0.180245585125355,1.29710519425809
ABTA FORtppi MDH PDH POX PPS PYRtex SUCOAS TKT1,9,0.02813844,2.58127694,0.180240624569095,1.29706945942265
4HTHRA ABTA ALLTN FORtppi MDH NDPK2 PDH POX PPS PYRtex SUCOAS TKT2 TRPAS2,13,0.02820339,2.57961047,0.180145010936629,1.29702604719545
4HTHRA ABTA FORtppi MDH NDPK2 PDH POX PPS PYRtex SUCOAS TKT2 TRPAS2,12,0.02820369,2.57955894,0.180142385624009,1.2970287505641
4HTHRA ABTA ALLTN FORtppi MDH NDPK2 PDH POX PPS PYRtex SUCOAS TKT2,12,0.028253,2.57910176,0.180116093866138,1.29694026486578
4HTHRA ABTA FORtppi MDH NDPK2 PDH POX PPS PYRtex SUCOAS TKT2,11,0.02825329,2.57905013,0.180113183278832,1.296943099779
4HTHRA ABTA ALLTN FORtppi MDH PDH POX PPS PYRtex SUCOAS TKT2 TRPAS2,12,0.02846565,2.57644268,0.179963921428107,1.29660632729991
4HTHRA ABTA FORtppi MDH PDH POX PPS PYRtex SUCOAS TKT2 TRPAS2,11,0.02846595,2.57639064,0.179960970914373,1.29660918344473
4HTHRA ABTA ALLTN FORtppi MDH PDH POX PPS PYRtex SUCOAS TKT2,11,0.02851618,2.57592361,0.179933988353279,1.29651938663178
4HTHRA ABTA FORtppi MDH PDH POX PPS PYRtex SUCOAS TKT2,10,0.02851648,2.57587147,0.179931043382633,1.2965222480659
ABTA ALLTN FACOAE160 FORtppi GHMT2r MDH PDH POX PPS PYRtex RPE SUCOAS TALA TRPAS2,14,0.02852099,2.56808384,0.179484653232584,1.29705207092705
ABTA FACOAE160 FORtppi GHMT2r MDH PDH POX PPS PYRtex RPE SUCOAS TALA TRPAS2,13,0.02852129,2.56798094,0.179478908562691,1.29705846182975
ABTA ALLTN FORtppi GHMT2r MDH PDH POX PPS PYRtex RPE SUCOAS TALA TRPAS2,13,0.02854975,2.56793405,0.179476177549716,1.29699256556372
ABTA FORtppi GHMT2r MDH PDH POX PPS PYRtex RPE SUCOAS TALA TRPAS2,12,0.02855005,2.56783104,0.179470438755799,1.29699896137507
ABTA ALLTN FACOAE160 FORtppi GHMT2r MDH PDH POX PPS PYRtex RPE SUCOAS TALA,13,0.02857172,2.56754889,0.179454019569,1.29696605495367
ABTA FACOAE160 FORtppi GHMT2r MDH PDH POX PPS PYRtex RPE SUCOAS TALA,12,0.02857202,2.5674458,0.179448285420492,1.29697245622798
ABTA ALLTN FORtppi GHMT2r MDH PDH POX PPS PYRtex RPE SUCOAS TALA,12,0.02860058,2.56739829,0.179445661591478,1.29690632123532
ABTA FORtppi GHMT2r MDH PDH POX PPS PYRtex RPE SUCOAS TALA,11,0.02860088,2.5672951,0.179439583677146,1.29691284963986
ABTA ALLTN FACOAE160 FORtppi GHMT2r MDH PDH POX PPS PYRtex RPE SUCOAS TRPAS2,13,0.028683,2.56723982,0.179436251438134,1.29671719698941
