ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
ALCD2x/ETOHtex FORtppi FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI PPKr TRDR VALt2rpp,11,0.02089459,10.70479201,1.5452251416513,1.00390229318367
ACALDtex/ACALDtpp ALCD2x/ETOHtex FORtppi GLCt2pp HADPCOADH/HADPCOADH3 Htex METt3pp O2tex PPKr RPE VALt2rpp,11,0.04850098,10.44301197,1.12396284268551,1.04524571865816
ACALDtex/ACALDtpp E4PD/PERD/OHPBAT ALCD2x/ETOHtex FORtppi GLCt2pp HADPCOADH/HADPCOADH3 Htex METt3pp O2tex PPKr RPE VALt2rpp,12,0.04850032,10.4430085,1.12396288387585,1.04524636389317
ACACT3r ALCD2x/ETOHtex FORtppi GLCt2pp HADPCOADH/HADPCOADH3 Htex METt3pp O2tex PPKr VALt2rpp,10,0.04863227,10.44175029,1.04274338857035,1.06278257642
ALCD2x/ETOHtex FORtppi FRK HADPCOADH/HADPCOADH3 Htex METt3pp O2tex PDH PPKr VALt2rpp,10,0.04953403,10.43308468,1.42366056785422,0.990809246919744
E4PD/PERD/OHPBAT ALCD2x/ETOHtex FORtppi FRK HADPCOADH/HADPCOADH3 Htex METt3pp O2tex PDH PPKr VALt2rpp,11,0.04953355,10.43307925,1.42366078835259,0.990809727891576
ALCD2x/ETOHtex FORtppi FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PPKr TRDR VALt2rpp,10,0.04932612,10.42679994,1.42391592870631,0.991010388122772
E4PD/PERD/OHPBAT ALCD2x/ETOHtex FORtppi FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PPKr TRDR VALt2rpp,11,0.04932565,10.4267946,1.42391614581148,0.991010859309103
ALCD2x/ETOHtex FORtppi FRK HADPCOADH/HADPCOADH3 Htex METt3pp O2tex PDH PPKr UDCPDPpp VALt2rpp,11,0.04761561,10.34092079,1.42743646042375,0.992633321991984
E4PD/PERD/OHPBAT ALCD2x/ETOHtex FORtppi FRK HADPCOADH/HADPCOADH3 Htex METt3pp O2tex PDH PPKr UDCPDPpp VALt2rpp,12,0.04761517,10.34091644,1.42743664022876,0.992633767323054
