,1,2,3,4,5,6,7,8,9,10,flux_difference,directed_coupling,regulation_type
ACLDC,0.292135,0.58427,0.876405,1.168539,1.460674,1.752809,2.044944,2.337079,2.629214,2.921349,2.629214,True,U
EX_btd_RR_e,0.29213487000000005,0.5842697400000001,0.8764046100000001,1.1685394800000002,1.4606743500000001,1.7528092200000003,2.0449440900000004,2.3370789600000004,2.6292138300000003,2.9213487000000002,2.6292138300000003,True,U
OAADC,0.0,0.0,0.0,0.0,0.0,0.420749,0.926249,1.431749,1.937249,2.442749,2.442749,False,U
ACLS,0.520573,0.791566,1.062559,1.333551,1.604544,1.873995,2.143135,2.412275,2.681416,2.950556,2.429983,True,U
Htex,10.37394,10.598474,10.823009,11.047543,11.272078,11.512986,11.757193,12.001399,12.245606,12.489813,2.1158730000000006,True,U
GLUDy,-5.090208,-5.165413,-5.240618,-5.315823,-5.391028,-5.093575,-4.721059,-4.348542,-3.976026,-3.603509,1.4866989999999998,False,D
MALS,5.438245,5.258859,5.079472,4.900085,4.720699,4.94898,5.259376,5.569773,5.88017,6.190567,0.7523219999999995,False,U
ICL,5.438245,5.258859,5.079472,4.900085,4.720699,4.94898,5.259376,5.569773,5.88017,6.190567,0.7523219999999995,False,U
ASPT,2.95183,3.224944,3.498058,3.771172,4.044286,3.959175,3.801907,3.644639,3.487372,3.330104,0.3782739999999998,False,U
ASPTA,-3.676054,-3.88214,-4.088226,-4.294313,-4.500399,-4.343372,-4.113204,-3.883036,-3.652868,-3.422701,0.25335300000000016,False,D
VALTA,-0.26289,-0.238559,-0.214228,-0.189897,-0.165567,-0.139462,-0.112999,-0.086537,-0.060075,-0.033612,0.229278,True,D
F6PA,-0.219528,-0.19921,-0.178893,-0.158575,-0.138258,-0.116458,-0.094361,-0.072263,-0.050166,-0.028068,0.19146,True,D
VPAMTr,-0.152312,-0.138216,-0.124119,-0.110022,-0.095926,-0.080801,-0.065469,-0.050138,-0.034806,-0.019474,0.132838,True,D
NAt3pp,12.798762,12.798877,12.798991,12.799106,12.79922,12.799343,12.799468,12.799593,12.799717,12.799842,0.0010799999999999699,True,U
PDX5POi,5.8e-05,5.3e-05,4.7e-05,4.2e-05,3.7e-05,3.1e-05,2.5e-05,1.9e-05,1.3e-05,7e-06,-5.1e-05,True,D
IPDDI,7.3e-05,6.6e-05,5.9e-05,5.2e-05,4.6e-05,3.9e-05,3.1e-05,2.4e-05,1.7e-05,9e-06,-6.4e-05,True,D
ADPT,0.000117,0.000106,9.5e-05,8.4e-05,7.3e-05,6.2e-05,5e-05,3.8e-05,2.7e-05,1.5e-05,-0.000102,True,D
DHNPA2,0.000175,0.000159,0.000142,0.000126,0.00011,9.3e-05,7.5e-05,5.8e-05,4e-05,2.2e-05,-0.000153,True,D
IPDPS,0.000624,0.000566,0.000509,0.000451,0.000393,0.000331,0.000268,0.000205,0.000143,8e-05,-0.000544,True,D
PE181abcpp,0.001906,0.001729,0.001553,0.001377,0.0012,0.001011,0.000819,0.000627,0.000436,0.000244,-0.0016619999999999998,True,D
PETNLA181pp,0.001906,0.001729,0.001553,0.001377,0.0012,0.001011,0.000819,0.000627,0.000436,0.000244,-0.0016619999999999998,True,D
PSSA181,0.001906,0.001729,0.001553,0.001377,0.0012,0.001011,0.000819,0.000627,0.000436,0.000244,-0.0016619999999999998,True,D
PSD181,0.001906,0.001729,0.001553,0.001377,0.0012,0.001011,0.000819,0.000627,0.000436,0.000244,-0.0016619999999999998,True,D
12DGR181tipp,0.001906,0.001729,0.001553,0.001377,0.0012,0.001011,0.000819,0.000627,0.000436,0.000244,-0.0016619999999999998,True,D
DAGK181,0.001906,0.001729,0.001553,0.001377,0.0012,0.001011,0.000819,0.000627,0.000436,0.000244,-0.0016619999999999998,True,D
DASYN181,0.001906,0.001729,0.001553,0.001377,0.0012,0.001011,0.000819,0.000627,0.000436,0.000244,-0.0016619999999999998,True,D
RNDR4b,0.006838,0.006205,0.005572,0.004939,0.004306,0.003627,0.002939,0.002251,0.001563,0.000874,-0.0059640000000000006,True,D
RNTR1c2,0.006838,0.006205,0.005572,0.004939,0.004306,0.003627,0.002939,0.002251,0.001563,0.000874,-0.0059640000000000006,True,D
FLDR2,0.006838,0.006205,0.005572,0.004939,0.004306,0.003627,0.002939,0.002251,0.001563,0.000874,-0.0059640000000000006,True,D
RNDR2b,0.00706,0.006407,0.005753,0.0051,0.004446,0.003745,0.003035,0.002324,0.001613,0.000903,-0.006157,True,D
NDPK7,0.00706,0.006407,0.005753,0.0051,0.004446,0.003745,0.003035,0.002324,0.001613,0.000903,-0.006157,True,D
NDPK5,0.00706,0.006407,0.005753,0.0051,0.004446,0.003745,0.003035,0.002324,0.001613,0.000903,-0.006157,True,D
RNDR3,0.00706,0.006407,0.005753,0.0051,0.004446,0.003745,0.003035,0.002324,0.001613,0.000903,-0.006157,True,D
FRD2,0.012186,0.011058,0.009931,0.008803,0.007675,0.006465,0.005238,0.004011,0.002785,0.001558,-0.010628,True,D
FDH5pp,0.012186,0.011058,0.009931,0.008803,0.007675,0.006465,0.005238,0.004011,0.002785,0.001558,-0.010628,True,D
GTHOr,0.013898,0.012612,0.011325,0.010039,0.008753,0.007373,0.005974,0.004575,0.003176,0.001777,-0.012121,True,D
GRXR,0.013898,0.012612,0.011325,0.010039,0.008753,0.007373,0.005974,0.004575,0.003176,0.001777,-0.012121,True,D
METSOXR1,0.040218,0.036496,0.032774,0.029052,0.025329,0.021336,0.017287,0.013239,0.009191,0.005142,-0.035075999999999996,True,D
DHORDfum,0.086432,0.078432,0.070433,0.062434,0.054434,0.045852,0.037151,0.028451,0.019751,0.011051,-0.07538099999999999,True,D
ALKP,0.219528,0.19921,0.178893,0.158575,0.138258,0.116458,0.094361,0.072263,0.050166,0.028068,-0.19146,True,D
PROD2,0.570879,0.518044,0.465208,0.412373,0.359537,0.302849,0.245384,0.18792,0.130455,0.072991,-0.497888,True,D
P5CR,0.62865,0.570468,0.512286,0.454103,0.395921,0.333496,0.270216,0.206937,0.143657,0.080377,-0.548273,True,D
MDH,13.520112,13.361429,13.202746,13.044064,12.885381,12.800341,12.730136,12.65993,12.589725,12.519519,-1.0005929999999985,True,D
FUM,11.582141,11.60282,11.623498,11.644177,11.664855,11.351508,10.970878,10.590248,10.209618,9.828987,-1.7531540000000003,False,D
BTDD_RR,-0.292135,-0.58427,-0.876405,-1.168539,-1.460674,-1.752809,-2.044944,-2.337079,-2.629214,-2.921349,-2.629214,True,U
BTDDtpp,-0.292135,-0.58427,-0.876405,-1.168539,-1.460674,-1.752809,-2.044944,-2.337079,-2.629214,-2.921349,-2.629214,True,U
BTDDtex,-0.292135,-0.58427,-0.876405,-1.168539,-1.460674,-1.752809,-2.044944,-2.337079,-2.629214,-2.921349,-2.629214,True,U
